NQUEST,NCOMP,nord,SEX,PARENT,NASC,ANASC,CIT,ANINGR,MOTIV,STACIV,STUDIO,TIPOLAU,VOTOEDU,SUEDU,SELODE,ANNOEDU,TIPODIP,UNIVER,PRESNORD,NORDP,MOTENT,ANNOENUS,B01,APQUAL2,ASNONOC2,NACE2,NESPLAV,EXLAV,ETALAV,DISLAV,DISANN1,DISANN2,CONTRIB,ACONTRIB,FCONTRIB,OCCNOW,PROBLAV1,CERC2,PROBLAV2,SALMIN,SMARTW,SMARTWA,SMARTWB,ETAPEN,COPPU,PREVCOM,COPPIP,b22,b23a,b23b,b24,b25a,b25b,b25c,ATTIVP,ISCO,NACE,ETALAV2,MISCOVID1,MISCOVID2,MISCOVIDV1,ETA,NASCREG,NASCAREA,IREG,PARENTP,smartwa1,CLETA5,QUAL,Q,SETT,CFRED,PERC,PERL,NPERL,NPERC,AREA3,AREA5,ACOM4C,ACOM5,PESOFIT2,PESOFIT
934063,4,2,2,2,1,1961,1,,,1,5,,58,60,,1980,6,2,2,,,,1,2,,,3,1,20,2,,,1,32,0,1,,2,,,2,,,,,1,,1,2,2,2,2,2,2,,4110,16,42,2,2,,59,3,1,3,,,4,2,1,3,0,1,1,2,2,1,1,2,4,1632.9417765,0.4023474401
934063,4,3,1,6,1,1993,1,,,2,7,9,104,110,0,2019,3,,2,,,,2,11,,,0,,,,,,,,,2,,1,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,27,3,1,3,,,1,7,3,5,0,0,0,2,2,1,1,2,4,1632.9417765,0.4023474401
934063,4,4,1,6,1,1998,1,,,2,5,,54,60,,2017,3,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,22,3,1,3,,,1,7,3,5,0,0,0,2,2,1,1,2,4,1632.9417765,0.4023474401
934111,2,1,1,1,1,1946,1,,,1,4,,,,,,,,1,,,,2,16,,,1,,18,2,,,1,36,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,74,3,1,3,,,5,6,3,5,1,1,0,0,2,1,1,0,1,7675.4450815,1.8911854207
934111,2,2,2,2,1,1952,1,,,1,2,,,,,,,,1,,,,2,15,1,19,1,,13,2,,,1,32,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,68,16,3,3,,,5,6,3,5,0,1,0,0,2,1,1,0,1,7675.4450815,1.8911854207
934114,2,1,1,1,1,1950,1,,,1,7,6,110,110,1,1974,2,,1,,,,1,6,,,2,3,24,2,,,1,47,0,1,100,2,,,1,0,0,75,90,,,2,1,2,2,2,2,2,,2411,11,60,2,2,,70,3,1,3,,,5,4,2,4,1,1,1,1,2,1,1,2,4,592.86106439,0.1460775485
934114,2,2,2,2,1,1944,1,,,1,7,9,110,110,0,1970,5,,2,,,,2,15,3,16,1,,27,2,,,1,40,5,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,76,5,1,3,,,5,6,3,5,0,1,0,1,2,1,1,2,4,592.86106439,0.1460775485
934115,2,1,1,1,1,1947,1,,,1,7,8,110,110,1,1971,3,,1,,,,2,15,6,13,1,,26,2,,,2,,,1,100,,,,1,0,10,,,,,2,1,2,1,2,2,2,,2611,13,,2,2,,73,20,3,3,,,5,6,3,5,1,1,1,1,2,1,1,2,4,0.8901179363,0.0002193199
934115,2,2,2,2,1,1949,1,,,1,7,1,110,110,1,1972,3,,2,,,,2,15,5,16,1,,25,2,,,1,44,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,71,5,1,3,,,5,6,3,5,0,1,0,1,2,1,1,2,4,0.8901179363,0.0002193199
934132,2,1,1,1,1,1956,1,,,1,7,6,98,110,0,1980,3,,1,,,,1,6,,,1,,28,2,,,1,36,0,1,100,2,,,1,0,0,68,60,,,2,1,2,2,2,2,2,,2411,13,,2,2,,64,12,2,3,,,4,4,2,4,1,1,1,1,1,1,1,2,4,1090.1249714,0.2686005086
934132,2,2,2,2,1,1959,1,,,1,5,,50,60,,1979,3,2,2,,,,2,14,,,1,,22,2,,,1,30,0,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,61,3,1,3,,,4,7,3,5,0,0,0,1,1,1,1,2,4,1090.1249714,0.2686005086
934140,4,1,1,1,1,1955,1,,,1,7,8,103,110,0,1980,3,,1,,,,2,15,5,14,10,1,27,2,,,1,43,4,1,100,,,,1,0,0,,,,,1,2,1,1,2,2,2,1,1112,14,61,2,2,,65,18,3,3,,,5,6,3,5,1,1,1,3,3,1,1,2,4,1585.3315208,0.3906165476
934140,4,2,2,2,1,1961,1,,,1,7,9,100,110,0,1987,3,,2,,,,1,2,,,3,3,28,1,1,,1,22,0,1,,2,,,2,,,,,2,,1,2,1,2,2,2,2,1,3344,17,45,2,2,,59,5,1,3,,,4,2,1,3,0,1,1,3,3,1,1,2,4,1585.3315208,0.3906165476
934140,4,3,2,6,1,1993,1,,,2,7,8,110,110,0,2017,3,,2,,,,1,3,,,1,,25,2,,,2,,,1,,1,,,1,0,8,,,2,,1,2,2,2,2,2,1,,2310,16,,2,2,,27,8,1,3,,,1,2,1,3,0,1,1,3,3,1,1,2,4,1585.3315208,0.3906165476
934140,4,4,2,6,1,1997,1,,,2,5,,85,100,,2016,3,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,23,3,1,3,,,1,7,3,5,0,0,0,3,3,1,1,2,4,1585.3315208,0.3906165476
934141,2,1,1,1,1,1965,1,,,3,7,7,110,110,1,1989,2,,1,,,,1,5,,,1,,19,2,,,1,37,0,1,100,2,,,1,0,12,65,70,1,90,1,2,2,2,2,2,2,,1346,11,,2,2,,55,3,1,3,,,4,3,1,4,1,1,1,2,2,1,1,3,5,3011.4711804,0.7420091383
934141,2,2,1,6,1,1995,1,,,2,7,10,98,100,0,2018,2,,2,,,,1,1,,,2,1,23,2,,,1,2,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,2,3111,19,25,2,2,,25,3,1,3,,,1,1,1,4,0,1,1,2,2,1,1,3,5,3011.4711804,0.7420091383
934172,1,1,1,1,1,1950,1,,,4,3,,,,,,,,1,,,,2,15,1,4,1,,16,2,,,1,37,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,70,3,1,3,,,5,6,3,5,1,1,0,0,1,1,1,2,4,3716.442455,0.9157099963
934180,2,1,1,1,1,1952,1,,,1,3,,,,,,,,1,,,,2,15,2,5,2,1,12,2,,,1,42,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,68,3,1,3,,,5,6,3,5,1,1,0,0,2,1,1,2,4,4369.6682101,1.0766610567
934180,2,2,2,2,1,1957,1,,,1,3,,,,,,,,1,,,,2,15,1,17,2,1,15,2,,,1,42,1,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,63,3,1,3,,,4,6,3,5,0,1,0,0,2,1,1,2,4,4369.6682101,1.0766610567
934202,1,1,2,1,2,1961,2,1987,4,1,7,6,80,100,0,1997,6,,1,,,,2,14,,,1,,35,1,6,,2,,,2,,1,30,10,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,59,,,3,,,4,7,3,5,1,1,0,0,1,1,1,1,3,2425.8820693,0.5977233571
934215,2,1,2,1,1,1973,1,,,1,3,,,,,,,,1,,,,1,8,,,3,3,18,1,2,,1,25,0,1,90,2,,,2,,,65,60,,,2,1,2,2,2,2,2,,9112,3,40,2,2,,47,3,1,3,,,3,5,2,2,0,1,1,2,2,1,1,2,4,8756.7937673,2.1576235031
934215,2,2,1,2,1,1970,1,,,1,3,,,,,,,,1,,,,1,1,,,1,,18,2,,,1,30,0,1,90,2,,,2,,,60,70,2,,1,2,2,2,2,2,2,,7213,3,,2,2,,50,3,1,3,,,3,1,1,2,1,1,1,2,2,1,1,2,4,8756.7937673,2.1576235031
934231,3,1,1,1,1,1962,1,,,1,7,6,100,110,0,1987,3,,1,,,,1,9,,,3,3,28,2,,,1,28,0,1,80,1,50,12,1,2,5,65,60,,,2,1,2,2,2,2,2,,1120,11,55,2,2,,58,3,1,3,,,4,4,2,4,1,1,1,1,1,1,1,2,3,1033.7953876,0.2547212239
934231,3,2,2,2,1,1965,1,,,1,7,8,104,110,0,1991,3,,2,,,,2,13,,,1,,29,2,,,1,10,0,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,55,3,1,3,,,4,7,3,5,0,0,0,1,1,1,1,2,3,1033.7953876,0.2547212239
934231,3,3,2,6,1,2003,1,,,2,4,,,,,,,,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,17,3,1,3,,,1,7,3,5,0,0,0,1,1,1,1,2,3,1033.7953876,0.2547212239
934259,2,1,2,1,1,1950,1,,,1,5,,47,60,,1970,2,2,1,,,,1,9,,,1,,30,2,,,1,48,0,1,100,2,,,2,,,64,35,,,2,1,2,1,2,2,2,,1120,7,,2,2,,70,4,1,4,,,5,4,2,4,0,1,1,2,2,1,2,2,4,804.43846421,0.1982090002
934259,2,2,1,2,1,1947,1,,,1,4,,,,,,,,2,,,,1,9,,,2,3,24,2,,,1,52,1,1,,2,,,2,,,,,,,2,1,2,1,2,2,2,,1221,7,61,2,2,,73,4,1,4,,,5,4,2,4,1,1,1,2,2,1,2,2,4,804.43846421,0.1982090002
934264,2,1,2,1,1,1950,1,,,1,7,6,110,110,0,1974,2,,1,,,,1,6,,,1,,24,2,,,1,48,3,1,30,2,,,1,0,0,65,30,,,2,1,2,1,2,2,2,,2411,13,,2,2,,70,4,1,4,,,5,4,2,4,0,1,1,2,2,1,2,2,4,486.71173342,0.1199229653
934264,2,2,1,2,1,1945,1,,,1,7,6,100,110,0,1974,2,,2,,,,1,6,,,3,3,20,2,,,1,50,2,1,,2,,,1,0,0,,,,,2,1,2,1,2,2,2,,2411,13,29,2,2,,75,4,1,4,,,5,4,2,4,1,1,1,2,2,1,2,2,4,486.71173342,0.1199229653
934265,3,1,1,1,1,1955,1,,,1,7,8,103,110,0,1981,3,,1,,,,1,6,,,1,,29,2,,,1,37,0,1,100,2,,,2,,,70,18,,,2,1,2,2,2,2,2,,2611,13,,2,2,,65,4,1,4,,,5,4,2,4,1,1,1,1,1,1,2,2,4,2106.5347631,0.5190380219
934265,3,2,2,2,1,1955,1,,,1,6,9,100,110,0,1980,3,,2,,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,65,4,1,4,,,5,7,3,5,0,0,0,1,1,1,2,2,4,2106.5347631,0.5190380219
934265,3,3,2,6,1,1989,1,,,2,7,8,100,110,0,2017,3,,2,,,,2,11,,,0,,,,,,,,,2,,1,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,31,4,1,4,,,1,7,3,5,0,0,0,1,1,1,2,2,4,2106.5347631,0.5190380219
934266,2,1,2,1,1,1961,1,,,1,7,3,110,110,0,1998,2,,1,,,,1,6,,,3,3,18,2,,,1,30,0,1,100,2,,,2,,,67,50,,,2,1,2,2,2,2,2,,2634,13,38,2,2,,59,4,1,4,,,4,4,2,4,0,1,1,2,2,1,2,2,4,886.52898,0.21843563
934266,2,2,1,2,1,1957,1,,,1,5,,50,60,,1976,2,2,2,,,,1,9,,,1,,18,2,,,1,40,0,1,,2,,,2,,,,,,,2,1,2,2,2,2,2,,1120,3,,2,2,,63,4,1,4,,,4,4,2,2,1,1,1,2,2,1,2,2,4,886.52898,0.21843563
934268,4,1,1,1,1,1954,1,,,1,7,3,95,110,0,1978,3,,1,,,,1,9,,,1,,24,2,,,1,48,4,1,100,2,,,2,,,69,10,,,2,1,2,2,2,2,2,,2262,17,,2,2,,66,4,1,4,,,5,4,2,3,1,1,1,2,3,1,2,2,4,1420.8232169,0.3500826499
934268,4,2,2,2,1,1957,1,,,1,5,,67,100,,1976,2,2,1,,,,2,13,,,1,,19,2,,,1,20,0,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,63,4,1,4,,,4,7,3,5,0,0,0,2,3,1,2,2,4,1420.8232169,0.3500826499
934268,4,3,2,6,1,1987,1,,,2,5,,60,100,,2006,1,2,2,,,,2,16,,,1,,20,2,,,1,5,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,33,4,1,4,,,1,6,3,5,0,1,0,2,3,1,2,2,4,1420.8232169,0.3500826499
934268,4,4,1,6,1,1991,1,,,2,7,3,105,110,0,2016,3,,2,,,,1,2,,,1,,25,2,,,1,5,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,2262,17,,2,2,,29,4,1,4,,,1,2,1,3,0,1,1,2,3,1,2,2,4,1420.8232169,0.3500826499
934276,4,1,1,1,2,1959,2,1990,3,1,7,6,95,100,0,1984,3,,1,,,,1,6,,,1,,24,2,,,1,39,0,1,0,1,50,250,1,0,15,67,10,,,2,1,2,2,2,2,2,,2411,13,,2,2,,61,,,4,,,4,4,2,4,1,1,1,2,2,1,2,2,4,0.8901179363,0.0002193199
934276,4,2,2,2,2,1974,2,2000,2,1,7,6,92,100,0,1998,3,,2,,,,1,5,,,2,1,24,2,,,1,25,0,1,,2,,,1,0,5,,,2,,1,2,2,2,2,2,2,,1219,10,43,2,2,,46,,,4,,,3,3,1,4,0,1,1,2,2,1,2,2,4,0.8901179363,0.0002193199
934276,4,3,2,6,1,2007,1,,,2,3,,,,,,,,2,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,13,4,1,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,0.8901179363,0.0002193199
934276,4,4,1,6,1,2010,1,,,2,2,,,,,,,,,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,10,4,1,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,0.8901179363,0.0002193199
934277,6,1,1,1,1,1961,1,,,1,7,4,90,110,0,1987,3,,1,,,,1,6,,,1,,26,2,,,1,34,0,1,100,2,,,1,0,6,80,20,,,2,1,2,2,2,2,2,,2144,6,,2,2,,59,4,1,4,,,4,4,2,4,0,1,1,4,4,1,2,2,4,1387.5633255,0.3418876044
934277,6,2,2,2,1,1965,1,,,1,7,8,100,110,0,1991,3,,2,,,,1,9,,,1,,26,2,,,1,25,0,1,,2,,,1,0,6,,,,,2,1,2,2,2,2,2,,1120,7,,2,2,,55,4,1,4,,,4,4,2,4,1,1,1,4,4,1,2,2,4,1387.5633255,0.3418876044
934277,6,3,2,6,1,1994,1,,,2,7,6,107,110,0,2019,3,,2,,,,1,2,,,1,,26,2,,,1,1,0,1,,2,,,1,0,6,,,2,,1,2,2,2,2,2,2,,4110,7,,2,2,,26,4,1,4,,,1,2,1,4,0,1,1,4,4,1,2,2,4,1387.5633255,0.3418876044
934277,6,4,1,6,1,1996,1,,,2,6,10,90,100,0,2020,3,,2,,,,1,2,,,1,,24,2,,,1,1,0,1,,2,,,1,0,6,,,2,,1,2,2,2,2,2,2,,3343,7,,2,2,,24,4,1,4,,,1,2,1,4,0,1,1,4,4,1,2,2,4,1387.5633255,0.3418876044
934277,6,5,2,6,1,1997,1,,,2,5,,90,100,,2015,3,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,23,4,1,4,,,1,7,3,5,0,0,0,4,4,1,2,2,4,1387.5633255,0.3418876044
934277,6,6,1,6,1,2000,1,,,2,5,,70,100,,2020,3,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,20,4,1,4,,,1,7,3,5,0,0,0,4,4,1,2,2,4,1387.5633255,0.3418876044
934278,4,1,1,1,1,1963,1,,,1,7,3,103,110,0,1990,3,,1,,,,1,6,,,1,,27,2,,,1,31,0,1,100,2,,,2,,,70,50,,,2,1,2,2,2,2,2,,2212,17,,2,2,,57,4,1,4,,,4,4,2,3,1,1,1,2,2,1,2,2,4,738.17891746,0.1818830298
934278,4,2,2,2,1,1963,1,,,1,7,3,107,110,0,1990,3,,2,,,,1,6,,,2,3,27,2,,,1,31,0,1,,2,,,2,,,,,,,2,1,2,2,2,2,2,,2211,17,31,2,2,,57,4,1,4,,,4,4,2,3,0,1,1,2,2,1,2,2,4,738.17891746,0.1818830298
934278,4,3,1,6,1,2000,1,,,2,5,,85,100,,2019,3,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,20,4,1,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,738.17891746,0.1818830298
934278,4,4,1,6,1,2002,1,,,2,5,,87,100,,2020,3,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,18,4,1,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,738.17891746,0.1818830298
934280,4,1,1,1,1,1968,1,,,1,7,6,80,100,0,1993,2,,1,,,,1,6,,,1,,24,2,,,1,27,2,1,100,2,,,1,0,0,62,30,,,2,1,2,2,2,2,1,,2423,14,,2,2,,52,4,1,4,,,3,4,2,4,1,1,1,3,3,1,2,2,4,2047.4324909,0.5044755627
934280,4,2,2,2,1,1970,1,,,1,3,,,,,,,,2,,,,1,2,,,2,1,14,2,,,1,35,0,1,,2,,,1,0,0,,,1,,1,2,2,2,2,2,1,,4120,14,35,2,2,,50,4,1,4,,,3,2,1,4,0,1,1,3,3,1,2,2,4,2047.4324909,0.5044755627
934280,4,3,2,6,1,1997,1,,,2,6,2,80,100,0,2019,1,,2,,,,2,17,,,2,1,20,2,,,1,3,0,1,,2,,,1,0,0,,,,,1,2,2,2,2,2,2,,3422,,20,2,2,,23,4,1,4,,,1,7,3,5,0,1,1,3,3,1,2,2,4,2047.4324909,0.5044755627
934280,4,4,1,6,1,2001,1,,,2,5,,81,100,,2020,3,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,19,4,1,4,,,1,7,3,5,0,0,0,3,3,1,2,2,4,2047.4324909,0.5044755627
934282,4,1,2,1,1,1972,1,,,1,7,10,100,110,0,1995,2,,1,,,,1,3,,,2,1,23,2,,,1,27,0,1,100,2,,,1,0,0,67,50,1,70,1,2,2,2,2,2,2,,2320,16,24,2,2,,48,4,1,4,,,3,2,1,3,0,1,1,2,2,1,2,2,4,1172.2127215,0.288826457
934282,4,2,1,2,1,1972,1,,,1,7,6,100,110,0,1997,2,,2,,,,1,9,,,2,3,26,2,,,1,25,0,1,,2,,,1,0,0,,,,,2,1,2,2,2,2,2,,2411,14,27,2,2,,48,4,1,4,,,3,4,2,4,1,1,1,2,2,1,2,2,4,1172.2127215,0.288826457
934282,4,3,1,6,1,2002,1,,,2,3,,,,,,,,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,18,4,1,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,1172.2127215,0.288826457
934282,4,4,1,6,1,2004,1,,,2,3,,,,,,,,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,16,4,1,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,1172.2127215,0.288826457
934287,1,1,2,1,2,1965,2,1985,3,3,8,3,108,110,0,1997,3,,1,,,,1,6,,,1,,15,2,,,1,20,0,1,100,2,,,2,,,70,50,,,2,1,2,2,2,2,2,,2211,17,,2,2,,55,,,4,,,4,4,2,3,1,1,1,1,1,1,2,2,4,815.56454809,0.2009504031
934289,1,1,2,1,1,1951,1,,,2,8,3,110,110,1,1976,3,,1,,,,2,15,6,17,1,,24,2,,,1,35,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,69,4,1,4,,,5,6,3,5,1,1,0,0,1,1,2,2,4,694.10972051,0.1710246337
934293,1,1,1,1,1,1962,1,,,4,7,10,108,110,0,1985,2,,1,,,,1,9,,,1,,24,2,,,1,30,0,1,100,2,,,1,0,0,80,50,,,2,1,2,2,2,2,2,,1330,10,,2,2,,58,4,1,4,,,4,4,2,4,1,1,1,1,1,1,2,2,4,705.80502776,0.17390629
934294,4,1,1,1,1,1982,1,,,1,8,3,110,110,0,2006,3,,1,,,,1,5,,,1,,24,2,,,1,11,2,1,100,2,,,2,,,65,60,2,,1,2,2,2,2,2,2,,2212,17,,2,2,,38,3,1,4,,,2,3,1,3,1,1,1,2,2,1,2,2,4,3706.3103008,0.913213492
934294,4,2,2,2,1,1982,1,,,1,7,3,110,110,0,2008,3,,1,,,,1,2,,,1,,22,2,,,1,16,0,1,100,2,,,2,,,60,90,2,,1,2,2,2,2,2,2,,3211,17,,2,2,,38,16,3,4,,,2,2,1,3,0,1,1,2,2,1,2,2,4,3706.3103008,0.913213492
934294,4,3,2,6,1,2013,1,,,2,1,,,,,,,,,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,7,4,1,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,3706.3103008,0.913213492
934294,4,4,2,6,1,2015,1,,,2,1,,,,,,,,,,,,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,5,4,1,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,3706.3103008,0.913213492
934295,5,1,2,1,1,1973,1,,,1,7,8,100,110,0,2003,3,,1,,,,1,6,,,1,,27,2,,,1,20,0,1,100,2,,,2,,,70,50,,,2,1,2,2,2,2,2,,2611,13,,2,2,,47,4,1,4,,,3,4,2,4,0,1,1,2,2,1,2,2,4,2051.4763027,0.5054719346
934295,5,2,1,2,1,1969,1,,,1,7,8,105,110,0,1996,3,,2,,,,1,6,,,2,3,25,2,,,1,22,0,1,,2,,,2,,,,,,,2,1,2,2,2,2,2,,2611,13,26,2,2,,51,4,1,4,,,3,4,2,4,1,1,1,2,2,1,2,2,4,2051.4763027,0.5054719346
934295,5,3,2,6,1,2006,1,,,2,3,,,,,,,,2,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,14,4,1,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,2051.4763027,0.5054719346
934295,5,4,1,6,1,2007,1,,,2,2,,,,,,,,2,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,13,4,1,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,2051.4763027,0.5054719346
934295,5,5,1,6,1,2009,1,,,2,2,,,,,,,,,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,11,4,1,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,2051.4763027,0.5054719346
934296,4,1,2,1,1,1970,1,,,1,7,6,96,110,0,1996,3,,1,,,,1,6,,,1,,26,2,,,1,25,0,1,100,2,,,1,1,1,70,75,,,2,1,2,2,2,2,2,,2423,13,,2,2,,50,5,1,4,,,3,4,2,4,0,1,1,2,2,1,2,2,4,1817.4650506,0.4478129111
934296,4,2,1,2,1,1970,1,,,1,7,4,104,110,0,2001,3,,1,,,,1,5,,,1,,30,2,,,1,22,1,1,100,2,,,2,,,70,50,2,,1,1,2,2,2,2,2,1,1321,6,30,2,2,,50,4,1,4,,,3,3,1,4,1,1,1,2,2,1,2,2,4,1817.4650506,0.4478129111
934296,4,3,1,7,2,1999,1,2002,1,2,5,,75,100,,2018,3,1,2,,,,2,17,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,21,,,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,1817.4650506,0.4478129111
934296,4,4,1,7,1,2007,1,,,2,3,,,,,,,,2,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,13,4,1,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,1817.4650506,0.4478129111
934301,1,1,2,1,1,1935,1,,,4,2,,,,,,,,1,,,,2,15,1,1,2,1,16,2,,,1,15,0,2,,,,,,,,,,,,2,2,2,1,2,1,2,,0,,,,,,85,5,1,4,,,5,6,3,5,1,1,0,0,1,1,2,2,4,1896.8924014,0.4673833525
934306,1,1,1,1,1,1939,1,,,4,5,,6,10,,1959,2,2,1,,,,2,15,5,15,2,1,20,2,,,1,38,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,81,8,1,4,,,5,6,3,5,1,1,0,0,1,1,2,2,4,1333.9247442,0.3286713672
934307,2,1,1,1,1,1941,1,,,1,7,6,100,110,0,1967,3,,1,,,,2,15,6,13,1,,25,2,,,1,42,0,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,79,6,1,4,,,5,6,3,5,1,1,0,0,1,1,2,2,4,409.81492252,0.1009760344
934307,2,2,2,2,1,1945,1,,,1,5,,45,60,,1970,1,2,2,,,,2,13,,,0,,,,,,,,,2,,2,,,,,,,,,,2,2,2,2,2,2,2,,0,,,,,,75,4,1,4,,,5,7,3,5,0,0,0,0,1,1,2,2,4,409.81492252,0.1009760344
934308,1,1,1,1,1,1947,1,,,2,7,4,87,110,0,1972,2,,1,,,,2,15,6,19,3,3,27,2,,,1,36,6,2,,,,,,,,,,,,2,2,2,1,2,2,2,,0,,,,,,73,4,1,4,,,5,6,3,5,1,1,0,0,1,1,2,2,4,510.73289305,0.1258416406
934312,3,1,1,1,1,1970,1,,,1,5,,47,60,,1989,1,2,1,,,,1,8,,,2,3,15,2,,,1,33,0,1,100,2,,,2,,,65,60,,,2,1,2,2,2,2,2,,7411,13,19,2,2,,50,4,1,4,,,3,5,2,4,1,1,1,3,3,1,2,2,4,1451.8001173,0.3577151796
934312,3,2,2,2,1,1969,1,,,1,7,9,110,110,1,1996,3,,1,,,,1,3,,,1,,27,2,,,1,25,0,1,100,2,,,1,0,0,67,60,2,,1,2,2,2,2,2,2,,2330,16,,2,2,,51,4,1,4,,,3,2,1,3,0,1,1,3,3,1,2,2,4,1451.8001173,0.3577151796
934312,3,3,2,6,1,1998,1,,,2,5,,80,100,,2017,3,2,2,,,,1,20,,,4,2,19,2,,,1,1,0,1,,2,,,2,,,,,,,2,2,1,2,2,2,2,,4222,7,22,1,2,4000,22,4,1,4,,,1,5,2,4,0,1,1,3,3,1,2,2,4,1451.8001173,0.3577151796
934315,3,1,1,1,1,1963,1,,,2,5,,43,60,,1982,2,2,1,,,,1,6,,,5,3,19,2,,,1,39,1,1,100,2,,,2,,,65,30,,,1,1,2,2,2,2,2,6,3123,6,34,2,2,,57,4,1,4,,,4,4,2,4,1,1,1,2,2,1,2,2,4,920.93392663,0.2269128105
934315,3,2,2,3,1,1969,1,,,2,5,,58,60,,1987,5,2,2,,,,1,3,,,1,,18,2,,,1,34,0,1,,2,,,2,,,,,2,,1,2,2,2,2,2,2,,2341,16,,2,2,,51,4,1,4,,,3,2,1,3,0,1,1,2,2,1,2,2,4,920.93392663,0.2269128105
934315,3,3,2,6,1,2006,1,,,2,3,,,,,,,,2,,,,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,2,,0,,,,,,14,4,1,4,,,1,7,3,5,0,0,0,2,2,1,2,2,4,920.93392663,0.2269128105
934316,3,1,2,1,1,1967,1,,,1,7,1,93,110,0,1993,3,,1,,,,1,2,,,2,1,24,2,,,1,30,0,1,100,2,,,1,0,10,60,50,2,,1,2,2,2,2,2,2,,2521,17,29,2,2,,53,4,1,4,,,3,2,1,3,0,1,1,2,2,1,2,2,4,712.94913288,0.1756665563
